Date : 2025-10-09 08:40:31
Directory : /home/moura/projetos/projetos_web/nexus-agents
Total : 314 files,  63474 codes, 2136 comments, 7643 blanks, all 73253 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        178 |     25,518 |        894 |      2,773 |     29,185 |
| JSON               |          6 |     17,256 |          0 |          4 |     17,260 |
| TypeScript         |         74 |      8,286 |        991 |      1,771 |     11,048 |
| Markdown           |         18 |      5,922 |          0 |      1,632 |      7,554 |
| YAML               |          8 |      5,139 |         51 |      1,188 |      6,378 |
| MS SQL             |          5 |        540 |         73 |         95 |        708 |
| Properties         |          2 |        282 |         46 |         60 |        388 |
| PostCSS            |          2 |        238 |          2 |         14 |        254 |
| Ignore             |          2 |         94 |         48 |         48 |        190 |
| Docker             |          2 |         87 |         23 |         35 |        145 |
| JSON with Comments |          2 |         54 |          0 |          2 |         56 |
| JavaScript         |          4 |         32 |          0 |         14 |         46 |
| Shell Script       |          1 |         16 |          8 |          7 |         31 |
| XML                |         10 |         10 |          0 |          0 |         10 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |        314 |     63,474 |      2,136 |      7,643 |     73,253 |
| docs                                                                                                                           |         16 |      5,876 |          0 |      1,604 |      7,480 |
| tmp                                                                                                                            |        132 |     23,958 |        848 |      2,102 |     26,908 |
| tmp/db                                                                                                                         |          2 |        166 |         16 |         14 |        196 |
| tmp/db/migrations                                                                                                              |          2 |        166 |         16 |         14 |        196 |
| tmp/frontend_backup                                                                                                            |        130 |     23,792 |        832 |      2,088 |     26,712 |
| tmp/frontend_backup (Files)                                                                                                    |         13 |      8,999 |         55 |         97 |      9,151 |
| tmp/frontend_backup/nginx                                                                                                      |          1 |        141 |         23 |         30 |        194 |
| tmp/frontend_backup/public                                                                                                     |          5 |          5 |          0 |          0 |          5 |
| tmp/frontend_backup/src                                                                                                        |        111 |     14,647 |        754 |      1,961 |     17,362 |
| tmp/frontend_backup/src (Files)                                                                                                |          1 |         49 |         12 |          8 |         69 |
| tmp/frontend_backup/src/app                                                                                                    |         21 |      2,310 |        145 |        322 |      2,777 |
| tmp/frontend_backup/src/app (Files)                                                                                            |          3 |        186 |          2 |         17 |        205 |
| tmp/frontend_backup/src/app/api                                                                                                |          5 |        396 |         32 |         74 |        502 |
| tmp/frontend_backup/src/app/api/health                                                                                         |          1 |         35 |          1 |          3 |         39 |
| tmp/frontend_backup/src/app/api/knowledge-base                                                                                 |          1 |        151 |         18 |         29 |        198 |
| tmp/frontend_backup/src/app/api/rag                                                                                            |          1 |         78 |          2 |         16 |         96 |
| tmp/frontend_backup/src/app/api/setup-bucket                                                                                   |          1 |         44 |          4 |         10 |         58 |
| tmp/frontend_backup/src/app/api/whatsapp-proxy                                                                                 |          1 |         88 |          7 |         16 |        111 |
